# ell TT TE EE BB
0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2 1.566024e+02 5.042435e-01 7.654244e-03 2.501609e-07
3 7.379474e+01 3.177574e-01 6.486548e-03 2.502825e-07
4 4.161476e+01 1.972284e-01 4.544604e-03 2.504421e-07
5 2.633762e+01 1.231410e-01 2.802244e-03 2.506374e-07
6 1.807295e+01 7.740268e-02 1.544584e-03 2.508660e-07
7 1.316487e+01 4.897890e-02 7.678769e-04 2.511249e-07
8 1.003647e+01 3.121185e-02 3.530151e-04 2.514108e-07
9 7.930077e+00 2.011022e-02 1.633602e-04 2.517201e-07
10 6.446622e+00 1.323913e-02 9.002470e-05 2.520490e-07
11 5.363702e+00 9.070381e-03 6.431738e-05 2.523937e-07
12 4.549134e+00 6.607813e-03 5.214191e-05 2.527503e-07
13 3.919468e+00 5.196575e-03 4.170403e-05 2.531149e-07
14 3.421068e+00 4.410142e-03 3.181279e-05 2.534837e-07
15 3.020621e+00 3.970572e-03 2.409177e-05 2.538531e-07
16 2.693649e+00 3.702483e-03 1.941327e-05 2.542199e-07
17 2.421808e+00 3.506424e-03 1.727207e-05 2.545808e-07
18 2.193500e+00 3.330058e-03 1.644368e-05 2.549333e-07
19 2.000088e+00 3.154375e-03 1.602766e-05 2.552749e-07
20 1.834026e+00 2.970579e-03 1.541718e-05 2.556038e-07
21 1.690531e+00 2.784246e-03 1.471048e-05 2.559184e-07
22 1.565679e+00 2.603839e-03 1.416482e-05 2.562175e-07
23 1.456248e+00 2.435000e-03 1.396839e-05 2.565007e-07
24 1.359449e+00 2.282206e-03 1.423760e-05 2.567675e-07
25 1.273540e+00 2.148093e-03 1.487078e-05 2.570182e-07
26 1.197039e+00 2.033803e-03 1.572193e-05 2.572531e-07
27 1.128454e+00 1.936320e-03 1.668600e-05 2.574731e-07
28 1.066438e+00 1.851585e-03 1.768374e-05 2.576793e-07
29 1.010220e+00 1.775527e-03 1.869827e-05 2.578729e-07
30 9.591745e-01 1.704069e-03 1.972830e-05 2.580554e-07
31 9.126956e-01 1.633555e-03 2.076876e-05 2.582284e-07
32 8.702605e-01 1.562004e-03 2.179931e-05 2.583935e-07
33 8.313665e-01 1.487856e-03 2.279584e-05 2.585522e-07
34 7.955526e-01 1.409975e-03 2.374236e-05 2.587064e-07
35 7.625236e-01 1.328929e-03 2.465537e-05 2.588574e-07
36 7.320261e-01 1.245714e-03 2.555953e-05 2.590068e-07
37 7.038120e-01 1.161339e-03 2.647542e-05 2.591557e-07
38 6.776554e-01 1.076877e-03 2.740746e-05 2.593053e-07
39 6.533361e-01 9.934172e-04 2.835596e-05 2.594560e-07
40 6.306338e-01 9.120474e-04 2.932126e-05 2.596089e-07
41 6.093513e-01 8.335934e-04 3.030264e-05 2.597644e-07
42 5.893840e-01 7.578302e-04 3.129500e-05 2.599226e-07
43 5.706504e-01 6.842701e-04 3.229221e-05 2.600833e-07
44 5.530690e-01 6.124256e-04 3.328810e-05 2.602464e-07
45 5.365581e-01 5.418444e-04 3.427743e-05 2.604117e-07
46 5.210350e-01 4.722163e-04 3.525867e-05 2.605785e-07
47 5.064168e-01 4.032664e-04 3.623116e-05 2.607460e-07
48 4.926204e-01 3.347200e-04 3.719427e-05 2.609133e-07
49 4.795630e-01 2.663023e-04 3.814737e-05 2.610797e-07
50 4.671700e-01 1.978455e-04 3.908986e-05 2.612444e-07
51 4.554015e-01 1.296100e-04 4.002122e-05 2.614065e-07
52 4.442259e-01 6.196296e-05 4.094098e-05 2.615652e-07
53 4.336116e-01 -4.728245e-06 4.184868e-05 2.617196e-07
54 4.235272e-01 -7.009633e-05 4.274383e-05 2.618688e-07
55 4.139413e-01 -1.338549e-04 4.362600e-05 2.620122e-07
56 4.048239e-01 -1.960413e-04 4.449488e-05 2.621494e-07
57 3.961452e-01 -2.567738e-04 4.535022e-05 2.622803e-07
58 3.878754e-01 -3.161705e-04 4.619174e-05 2.624046e-07
59 3.799847e-01 -3.743498e-04 4.701919e-05 2.625222e-07
60 3.724433e-01 -4.314298e-04 4.783230e-05 2.626329e-07
61 3.652241e-01 -4.875091e-04 4.863071e-05 2.627367e-07
62 3.583104e-01 -5.426076e-04 4.941369e-05 2.628340e-07
63 3.516882e-01 -5.967256e-04 5.018043e-05 2.629255e-07
64 3.453435e-01 -6.498632e-04 5.093011e-05 2.630117e-07
65 3.392623e-01 -7.020207e-04 5.166191e-05 2.630932e-07
66 3.334306e-01 -7.531983e-04 5.237500e-05 2.631707e-07
67 3.278344e-01 -8.033962e-04 5.306857e-05 2.632448e-07
68 3.224604e-01 -8.526146e-04 5.374195e-05 2.633160e-07
69 3.172979e-01 -9.008533e-04 5.439514e-05 2.633849e-07
70 3.123372e-01 -9.481120e-04 5.502829e-05 2.634520e-07
71 3.075683e-01 -9.943907e-04 5.564155e-05 2.635178e-07
72 3.029813e-01 -1.039689e-03 5.623507e-05 2.635827e-07
73 2.985663e-01 -1.084007e-03 5.680899e-05 2.636474e-07
74 2.943134e-01 -1.127344e-03 5.736347e-05 2.637123e-07
75 2.902127e-01 -1.169699e-03 5.789866e-05 2.637780e-07
76 2.862551e-01 -1.211071e-03 5.841454e-05 2.638448e-07
77 2.824343e-01 -1.251442e-03 5.891040e-05 2.639127e-07
78 2.787447e-01 -1.290795e-03 5.938536e-05 2.639816e-07
79 2.751808e-01 -1.329109e-03 5.983855e-05 2.640513e-07
80 2.717371e-01 -1.366366e-03 6.026907e-05 2.641218e-07
81 2.684079e-01 -1.402548e-03 6.067606e-05 2.641929e-07
82 2.651878e-01 -1.437635e-03 6.105863e-05 2.642645e-07
83 2.620713e-01 -1.471608e-03 6.141591e-05 2.643365e-07
84 2.590531e-01 -1.504457e-03 6.174724e-05 2.644086e-07
85 2.561293e-01 -1.536198e-03 6.205285e-05 2.644810e-07
86 2.532964e-01 -1.566858e-03 6.233319e-05 2.645535e-07
87 2.505511e-01 -1.596462e-03 6.258870e-05 2.646261e-07
88 2.478896e-01 -1.625035e-03 6.281985e-05 2.646987e-07
89 2.453085e-01 -1.652604e-03 6.302708e-05 2.647713e-07
90 2.428043e-01 -1.679193e-03 6.321085e-05 2.648439e-07
91 2.403736e-01 -1.704828e-03 6.337160e-05 2.649164e-07
92 2.380126e-01 -1.729534e-03 6.350979e-05 2.649887e-07
93 2.357183e-01 -1.753332e-03 6.362579e-05 2.650610e-07
94 2.334879e-01 -1.776217e-03 6.371966e-05 2.651335e-07
95 2.313192e-01 -1.798181e-03 6.379137e-05 2.652067e-07
96 2.292097e-01 -1.819214e-03 6.384090e-05 2.652811e-07
97 2.271573e-01 -1.839307e-03 6.386823e-05 2.653572e-07
98 2.251594e-01 -1.858450e-03 6.387333e-05 2.654354e-07
99 2.232138e-01 -1.876634e-03 6.385618e-05 2.655161e-07
100 2.213180e-01 -1.893849e-03 6.381676e-05 2.655999e-07
101 2.194698e-01 -1.910087e-03 6.375505e-05 2.656872e-07
102 2.176669e-01 -1.925338e-03 6.367102e-05 2.657784e-07
103 2.159067e-01 -1.939593e-03 6.356466e-05 2.658740e-07
